时间,区域,出租车数量,公交车数量,气温,风向,风速,雨量,AQI,空气质量
2019-04-04 12:00:00,虹口区,86667,159,16.8,281,0.4,0.0,62,良
2019-04-04 15:00:00,虹口区,100479,153,17.7,299,0.6,0.0,97,良
2019-04-04 18:00:00,虹口区,97489,167,17.5,62,0.4,0.0,114,轻度污染
2019-04-04 21:00:00,虹口区,88464,131,17,184,0.6,0.0,173,中度污染
2019-04-05 00:00:00,虹口区,62835,11,15.8,333,0.4,0.0,168,中度污染
2019-04-05 03:00:00,虹口区,29812,0,15,99,0.6,0.0,166,中度污染
2019-04-05 06:00:00,虹口区,31758,82,14.6,97,1.3,1.6,93,良
2019-04-05 09:00:00,虹口区,75094,210,13.7,124,0.3,1.2,75,良
2019-04-05 12:00:00,虹口区,90341,157,14.5,52,0.7,0.0,74,良
2019-04-05 15:00:00,虹口区,97944,145,13.9,50,1.4,0.0,64,良
2019-04-05 18:00:00,虹口区,92512,179,13.6,276,0.5,0.0,64,良
2019-04-05 21:00:00,虹口区,83920,142,11.8,216,0.9,0.1,30,优
2019-04-06 00:00:00,虹口区,52957,26,11.4,60,1,3.1,24,优
2019-04-06 03:00:00,虹口区,24664,0,11.6,33,0.8,1.2,26,优
2019-04-06 06:00:00,虹口区,31278,88,11.4,88,1.3,2.6,29,优
2019-04-06 09:00:00,虹口区,83886,199,11.1,269,1.6,1.1,34,优
2019-04-06 12:00:00,虹口区,100320,163,11.3,195,0.7,0.0,33,优
2019-04-06 15:00:00,虹口区,103311,162,12.4,159,0.7,0.0,27,优
2019-04-06 18:00:00,虹口区,89640,169,10.6,270,1.2,1.8,38,优
2019-04-06 21:00:00,虹口区,79335,140,10.2,29,0.9,0.1,54,良
2019-04-07 00:00:00,虹口区,55396,16,8.9,80,1.3,1.2,59,良
2019-04-07 03:00:00,虹口区,28045,0,7.9,136,0.9,0.8,45,优
2019-04-07 06:00:00,虹口区,40015,100,8.1,128,1.1,0.0,41,优
2019-04-07 09:00:00,虹口区,105270,237,8.4,54,1.5,0.0,51,良
2019-04-07 12:00:00,虹口区,128940,176,8.6,131,2.1,0.2,52,良
2019-04-07 15:00:00,虹口区,136165,173,7.6,143,1.7,1.7,44,优
2019-04-07 18:00:00,虹口区,120861,181,6.9,179,0.6,1.3,38,优
2019-04-07 21:00:00,虹口区,89500,132,5.7,298,1.6,0.1,30,优
2019-04-08 00:00:00,虹口区,63855,25,5.6,329,0.6,0.0,38,优
2019-04-08 03:00:00,虹口区,28883,0,5.2,311,1.2,0.0,53,良
2019-04-08 06:00:00,虹口区,38229,90,6.9,43,0.9,0.0,39,优
2019-04-08 09:00:00,虹口区,107556,241,9.1,108,1.1,0.0,48,优
2019-04-08 12:00:00,虹口区,127688,160,11.1,60,2.1,0.0,51,良
2019-04-08 15:00:00,虹口区,135499,158,12.1,95,1.5,0.0,46,优
2019-04-08 18:00:00,虹口区,122288,173,10.9,50,0.6,0.0,43,优
2019-04-08 21:00:00,虹口区,98309,138,9.1,46,1.8,0.0,43,优
2019-04-09 00:00:00,虹口区,72906,21,7.6,112,0.7,0.0,33,优
2019-04-09 03:00:00,虹口区,30735,0,7.3,74,0.7,0.0,38,优
2019-04-09 06:00:00,虹口区,41997,93,6.8,45,0.6,0.0,38,优
2019-04-09 09:00:00,虹口区,103535,238,11.2,334,0.7,0.0,42,优
2019-04-09 12:00:00,虹口区,127467,189,14.8,2,1.7,0.0,39,优
2019-04-09 15:00:00,虹口区,141306,142,14.7,59,2.5,0.0,44,优
2019-04-09 18:00:00,虹口区,123600,190,12.7,54,1,0.0,49,优
2019-04-09 21:00:00,虹口区,97653,155,11.9,140,0.8,0.0,53,良
2019-04-10 00:00:00,虹口区,72830,28,11.6,10,1.1,0.0,53,良
2019-04-10 03:00:00,虹口区,30350,0,10.2,////,0,0.0,57,良
2019-04-10 06:00:00,虹口区,41013,99,10.2,////,0,0.0,67,良
2019-04-10 09:00:00,虹口区,107377,256,14.2,108,1.8,0.0,70,良
2019-04-10 12:00:00,虹口区,129056,165,16.6,121,1.8,0.0,72,良
2019-04-10 15:00:00,虹口区,132788,162,17,229,1.9,0.0,74,良
2019-04-10 18:00:00,虹口区,119446,196,14.4,98,2.1,0.0,60,良
2019-04-10 21:00:00,虹口区,98564,151,12,51,1.1,0.0,58,良
2019-04-11 00:00:00,虹口区,75499,25,10.4,////,0.1,0.0,59,良
2019-04-11 03:00:00,虹口区,39902,0,9.7,////,0.1,0.0,60,良
2019-04-11 06:00:00,虹口区,38898,91,9.3,////,0,0.0,65,良
2019-04-11 09:00:00,虹口区,100989,214,14.2,35,2.1,0.0,48,优
2019-04-11 12:00:00,虹口区,113210,179,18.5,33,1.3,0.0,52,良
2019-04-11 15:00:00,虹口区,129254,162,19.2,89,1.6,0.0,63,良
2019-04-11 18:00:00,虹口区,119827,202,16.4,326,0.5,0.0,64,良
2019-04-11 21:00:00,虹口区,105329,134,13.8,25,1,0.0,90,良
2019-04-12 00:00:00,虹口区,82372,17,12.5,18,0.6,0.0,83,良
2019-04-12 03:00:00,虹口区,40057,0,12.3,359,0.7,0.0,78,良
2019-04-12 06:00:00,虹口区,38140,99,12.4,////,0.2,0.0,65,良
2019-04-12 09:00:00,虹口区,96618,228,15,101,0.9,0.0,69,良
